,"Miami-Dade County, Florida",,,,,,"Doral city, Florida",,,,,,"Hialeah city, Florida",,,,,,"Homestead city, Florida",,,,,,"Miami city, Florida",,,,,,"Miami Beach city, Florida",,,,,,"Miami Gardens city, Florida",,,,,
,Total,Percent,Male,Percent Male,Female,Percent Female,Total,Percent,Male,Percent Male,Female,Percent Female,Total,Percent,Male,Percent Male,Female,Percent Female,Total,Percent,Male,Percent Male,Female,Percent Female,Total,Percent,Male,Percent Male,Female,Percent Female,Total,Percent,Male,Percent Male,Female,Percent Female,Total,Percent,Male,Percent Male,Female,Percent Female
Label,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
Total population,"2,686,867",(X),"1,320,133",(X),"1,366,734",(X),"79,359",(X),"39,959",(X),"39,400",(X),"221,318",(X),"107,136",(X),"114,182",(X),"81,672",(X),"44,011",(X),"37,661",(X),"455,955",(X),"233,584",(X),"222,371",(X),"79,616",(X),"42,946",(X),"36,670",(X),"110,714",(X),"56,038",(X),"54,676",(X)
AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 5 years,"143,825",5.4%,"73,463",5.6%,"70,362",5.1%,"6,416",8.1%,"2,995",7.5%,"3,421",8.7%,"10,512",4.7%,"5,181",4.8%,"5,331",4.7%,"4,768",5.8%,"2,985",6.8%,"1,783",4.7%,"19,145",4.2%,"12,045",5.2%,"7,100",3.2%,"3,818",4.8%,"1,640",3.8%,"2,178",5.9%,"6,514",5.9%,"3,182",5.7%,"3,332",6.1%
5 to 9 years,"139,349",5.2%,"72,217",5.5%,"67,132",4.9%,"4,513",5.7%,"1,968",4.9%,"2,545",6.5%,"8,593",3.9%,"4,447",4.2%,"4,146",3.6%,"6,421",7.9%,"3,516",8.0%,"2,905",7.7%,"22,587",5.0%,"12,398",5.3%,"10,189",4.6%,"4,295",5.4%,"2,833",6.6%,"1,462",4.0%,"8,794",7.9%,"5,181",9.2%,"3,613",6.6%
10 to 14 years,"154,041",5.7%,"77,856",5.9%,"76,185",5.6%,"4,906",6.2%,"3,093",7.7%,"1,813",4.6%,"9,503",4.3%,"5,108",4.8%,"4,395",3.8%,"5,175",6.3%,"2,428",5.5%,"2,747",7.3%,"20,281",4.4%,"9,514",4.1%,"10,767",4.8%,"4,312",5.4%,"3,169",7.4%,"1,143",3.1%,"9,423",8.5%,"4,453",7.9%,"4,970",9.1%
15 to 19 years,"157,341",5.9%,"80,563",6.1%,"76,778",5.6%,"5,860",7.4%,"2,958",7.4%,"2,902",7.4%,"11,756",5.3%,"5,395",5.0%,"6,361",5.6%,"5,691",7.0%,"2,910",6.6%,"2,781",7.4%,"20,469",4.5%,"9,404",4.0%,"11,065",5.0%,"4,634",5.8%,"2,052",4.8%,"2,582",7.0%,"6,505",5.9%,"4,148",7.4%,"2,357",4.3%
20 to 24 years,"156,918",5.8%,"79,901",6.1%,"77,017",5.6%,"5,752",7.2%,"3,932",9.8%,"1,820",4.6%,"11,250",5.1%,"5,296",4.9%,"5,954",5.2%,"6,897",8.4%,"4,501",10.2%,"2,396",6.4%,"26,947",5.9%,"14,637",6.3%,"12,310",5.5%,"2,367",3.0%,780,1.8%,"1,587",4.3%,"7,099",6.4%,"3,809",6.8%,"3,290",6.0%
25 to 29 years,"167,054",6.2%,"84,905",6.4%,"82,149",6.0%,"4,642",5.8%,"2,001",5.0%,"2,641",6.7%,"13,608",6.1%,"7,347",6.9%,"6,261",5.5%,"5,050",6.2%,"3,620",8.2%,"1,430",3.8%,"40,954",9.0%,"19,228",8.2%,"21,726",9.8%,"4,415",5.5%,"1,911",4.4%,"2,504",6.8%,"5,662",5.1%,"2,996",5.3%,"2,666",4.9%
