,"Miami-Dade County, Florida",,,,,,"Doral city, Florida",,,,,,"Hialeah city, Florida",,,,,,"Homestead city, Florida",,,,,,"Miami city, Florida",,,,,,"Miami Beach city, Florida",,,,,,"Miami Gardens city, Florida",,,,,
,Total,Percent,Households receiving food stamps/SNAP,Percent households receiving food stamps/SNAP,Households not receiving food stamps/SNAP,Percent households not receiving food stamps/SNAP,Total,Percent,Households receiving food stamps/SNAP,Percent households receiving food stamps/SNAP,Households not receiving food stamps/SNAP,Percent households not receiving food stamps/SNAP,Total,Percent,Households receiving food stamps/SNAP,Percent households receiving food stamps/SNAP,Households not receiving food stamps/SNAP,Percent households not receiving food stamps/SNAP,Total,Percent,Households receiving food stamps/SNAP,Percent households receiving food stamps/SNAP,Households not receiving food stamps/SNAP,Percent households not receiving food stamps/SNAP,Total,Percent,Households receiving food stamps/SNAP,Percent households receiving food stamps/SNAP,Households not receiving food stamps/SNAP,Percent households not receiving food stamps/SNAP,Total,Percent,Households receiving food stamps/SNAP,Percent households receiving food stamps/SNAP,Households not receiving food stamps/SNAP,Percent households not receiving food stamps/SNAP,Total,Percent,Households receiving food stamps/SNAP,Percent households receiving food stamps/SNAP,Households not receiving food stamps/SNAP,Percent households not receiving food stamps/SNAP
Label,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
Households,"985,935",(X),"207,527",21.0%,"778,408",79.0%,"26,222",(X),"2,256",8.6%,"23,966",91.4%,"78,792",(X),"32,886",41.7%,"45,906",58.3%,"26,901",(X),"4,109",15.3%,"22,792",84.7%,"201,102",(X),"42,775",21.3%,"158,327",78.7%,"37,894",(X),"4,798",12.7%,"33,096",87.3%,"34,688",(X),"8,421",24.3%,"26,267",75.7%
With one or more people in the household 60 years and over,"443,267",45.0%,"133,270",64.2%,"309,997",39.8%,"6,900",26.3%,"1,479",65.6%,"5,421",22.6%,"42,762",54.3%,"23,131",70.3%,"19,631",42.8%,"7,601",28.3%,"1,514",36.8%,"6,087",26.7%,"71,793",35.7%,"26,327",61.5%,"45,466",28.7%,"15,426",40.7%,"2,978",62.1%,"12,448",37.6%,"16,960",48.9%,"4,376",52.0%,"12,584",47.9%
No people in the household 60 years and over,"542,668",55.0%,"74,257",35.8%,"468,411",60.2%,"19,322",73.7%,777,34.4%,"18,545",77.4%,"36,030",45.7%,"9,755",29.7%,"26,275",57.2%,"19,300",71.7%,"2,595",63.2%,"16,705",73.3%,"129,309",64.3%,"16,448",38.5%,"112,861",71.3%,"22,468",59.3%,"1,820",37.9%,"20,648",62.4%,"17,728",51.1%,"4,045",48.0%,"13,683",52.1%
HOUSEHOLD TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Married-couple family,"434,277",44.0%,"71,093",34.3%,"363,184",46.7%,"16,268",62.0%,851,37.7%,"15,417",64.3%,"36,792",46.7%,"11,858",36.1%,"24,934",54.3%,"12,585",46.8%,"1,285",31.3%,"11,300",49.6%,"66,262",32.9%,"10,928",25.5%,"55,334",34.9%,"13,707",36.2%,983,20.5%,"12,724",38.4%,"13,795",39.8%,"2,616",31.1%,"11,179",42.6%
Other family:,"246,219",25.0%,"84,850",40.9%,"161,369",20.7%,"5,948",22.7%,"1,036",45.9%,"4,912",20.5%,"23,362",29.7%,"11,909",36.2%,"11,453",24.9%,"7,462",27.7%,"2,154",52.4%,"5,308",23.3%,"44,522",22.1%,"15,748",36.8%,"28,774",18.2%,"5,666",15.0%,"1,596",33.3%,"4,070",12.3%,"11,170",32.2%,"4,327",51.4%,"6,843",26.1%
"Male householder, no spouse present","78,480",8.0%,"22,979",11.1%,"55,501",7.1%,"1,617",6.2%,185,8.2%,"1,432",6.0%,"7,598",9.6%,"3,200",9.7%,"4,398",9.6%,"2,202",8.2%,600,14.6%,"1,602",7.0%,"16,143",8.0%,"4,024",9.4%,"12,119",7.7%,"2,676",7.1%,536,11.2%,"2,140",6.5%,"2,910",8.4%,"1,014",12.0%,"1,896",7.2%
"Female householder, no spouse present","167,739",17.0%,"61,871",29.8%,"105,868",13.6%,"4,331",16.5%,851,37.7%,"3,480",14.5%,"15,764",20.0%,"8,709",26.5%,"7,055",15.4%,"5,260",19.6%,"1,554",37.8%,"3,706",16.3%,"28,379",14.1%,"11,724",27.4%,"16,655",10.5%,"2,990",7.9%,"1,060",22.1%,"1,930",5.8%,"8,260",23.8%,"3,313",39.3%,"4,947",18.8%
