Municipality,Number_of_Parks,Total_Acreage,Park_Class_Distribution,                    Development_Status_Distribution
Aventura,7,37.2,        Community/Neighborhood: 5; Single Purpose: 2,Fully Developed: 7
Coral gables,47,250.5,        Community/Neighborhood: 29; Single Purpose: 18,Fully Developed: 47
Doral,12,149.5,        Community/Neighborhood: 12,                Fully Developed: 12
Florida city,5,29.5,        Community/Neighborhood: 5,                Fully Developed: 5
Hialeah,29,149.5,        Community/Neighborhood: 29,                Fully Developed: 29
Hialeah gardens,2,2.5,            Community/Neighborhood: 2,                Fully Developed: 2
Homestead,24,149.5,        Community/Neighborhood: 24,                Fully Developed: 24
Key biscayne,3,37.2,        Community/Neighborhood: 3,                Fully Developed: 3
Medley,2,2.5,            Community/Neighborhood: 2,                Fully Developed: 2
Miami,141,747.5,        Community/Neighborhood: 141,                Fully Developed: 141
Miami beach,43,224.5,        Community/Neighborhood: 43,                Fully Developed: 43
Miami gardens,12,74.5,        Community/Neighborhood: 12,                Fully Developed: 12
Miami lakes,17,99.5,        Community/Neighborhood: 17,                Fully Developed: 17
Miami shores,5,24.5,        Community/Neighborhood: 5,                Fully Developed: 5
Miami springs,5,24.5,        Community/Neighborhood: 5,                Fully Developed: 5
North miami,12,74.5,        Community/Neighborhood: 12,                Fully Developed: 12
North miami beach,7,37.2,        Community/Neighborhood: 7,                Fully Developed: 7
Opa-locka,5,24.5,        Community/Neighborhood: 5,                Fully Developed: 5
Palmetto bay,5,24.5,        Community/Neighborhood: 5,                Fully Developed: 5
Pinecrest,5,24.5,        Community/Neighborhood: 5,                Fully Developed: 5
South miami,5,24.5,        Community/Neighborhood: 5,                Fully Developed: 5
Sunny isles beach,5,24.5,        Community/Neighborhood: 5,                Fully Developed: 5
Surfside,2,2.5,            Community/Neighborhood: 2,                Fully Developed: 2
Sweetwater,5,24.5,        Community/Neighborhood: 5,                Fully Developed: 5
West miami,2,2.5,            Community/Neighborhood: 2,                Fully Developed: 2
