X,Y,OBJECTID,FOLIO,ID,NAME,ADDRESS,CITY,ZIPCODE,PHONE,CONTACT,CLASS,TOTACRE,TYPE,DEVELOP,MNGTAGCY,LAT,LON,POINT_X,POINT_Y,SOURCEGLOBALID,SOURCECREATIONDATE,SOURCECREATOR,SOURCEEDITDATE,SOURCEEDITOR,CREATEDBY,CREATEDDATE,MODIFIEDBY,MODIFIEDDATE,GlobalID
-8958876.3484,2931879.8581,1,1678240110010,790753,Florida City Camp Site & RV Park,601 NW 3rd Ave,Florida City,33034,305-247-8221, ,Single Purpose,14.59385772648,Local,Fully Developed,Florida City,25.45617,-80.47895,828086.515089497,408374.725615658,B194E548-F1BE-4D47-9F98-EC258260050B,2021/10/21 15:23:25+00,HomesteadPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:14+00,PROSM,2024/03/05 07:27:59+00,29d8ec00-fd9c-4ea9-94f5-e6977bcb5adc
-8920422.6165,2995840.9102,2,2812350290010,ITD60,Waterways Dog Park,3401 NE 213th St,Aventura,33180,305-466-8008, ,Community/Neighborhood,1.4,Local,Fully Developed,Aventura,25.97383,-80.13352,940832.917220913,597122.525284655,374DF713-CDEE-4429-A075-CF46CAC5CD63,2021/10/21 15:23:25+00,AventuraPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:14+00,PROSM,2024/03/05 07:28:00+00,a7250285-ba67-4616-b9d1-cfe204a4aa39
-8919114.8365,2976904.7404,3,0232230020060,322351,Indian Beach Park,4621 Collins Ave,Miami Beach,33140,305-673-7720,305-673-7730,Community/Neighborhood,6,Local,Fully Developed,Miami Beach,25.82081,-80.12177,945065.066893078,541527.561999738,108071E2-AAEF-4581-ACF4-0A06527F95CE,2021/10/21 15:23:25+00,MiamiBeachPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:01+00,PROSM,2024/03/05 07:27:39+00,f6936a19-cb0b-4d5b-b4a3-105b7df530c3
-8934715.1815,2962626.9995,4,0341320051860,,Loretta Sheehy Park,"410 SUNSET DRIVE, CORAL GABLES, 33143",Coral Gables,33143,305-460-5620,Fabio Rodriguez,Neighborhood Park,0.13,Local,Open Space,Coral Gables,25.7053,-80.26191,899256.059974865,499200.749118329,E3790488-10A0-4A56-81FC-D77D543C3565,2021/10/21 15:23:25+00,CoralGablesPark,2024/05/23 17:42:21+00,E327883@miamidade.gov_MDC,PROSM,2024/01/31 10:03:01+00,PROSM,2024/05/29 07:42:53+00,2847d6be-b137-4c85-bd88-47d9c1c7d6f3
-8936137.4382,2968157.6578,5,0341080015390,410750,Young Park,"950 CASTILE AVE, CORAL GABLES, 33134",Coral Gables,33134,305-460-5620,Fabian Rodriguez,Neighborhood Park,0.43,Local,Undeveloped,Coral Gables,25.75006,-80.2747,894967.434715683,515368.405459359,5366C52D-D0ED-4E2A-9C77-6A6194911652,2021/10/21 15:23:25+00,CoralGablesPark,2024/05/23 17:51:10+00,E327883@miamidade.gov_MDC,PROSM,2024/01/31 10:03:22+00,PROSM,2024/05/29 07:42:50+00,50f042b4-46a9-43a6-8d8a-d7fc9ca3cfa4
-8943038.7355,2987812.7535,6,3220220041100,202209,ML Tax Dist..- (p-72),Rednock Ln / Breckness Pl,Miami Lakes,33016,305-698-9308, ,Mini Park,0,Local,Undeveloped,Miami Lakes,25.90898,-80.33668,874204.549821746,573160.760872327,82D6EF2B-AF5E-444B-A9BE-CCB29927C18D,2021/10/21 15:23:25+00,MiamiLakesPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:02+00,PROSM,2024/03/05 07:27:40+00,bae53726-fefd-4526-bf9a-b0b166e00e55
-8934936.8667,2967124.518,7,0341170040220,411751,Coral Gables War Memorial Youth Center,"405 UNIVERSITY DR, CORAL GABLES, 33134",Coral Gables,33134,305-460-5620,Fabian Rodriguez,Community/Neighborhood,9,Local,Fully Development,Coral Gables,25.7417,-80.26391,898469.263428843,512484.986489086,459F2344-6DD9-4E5E-9FA1-AF6FE4640B50,2021/10/21 15:23:25+00,CoralGablesPark,2024/05/08 15:11:32+00,CoralGablesPark,PROSM,2024/01/31 10:03:34+00,PROSM,2024/05/14 15:56:44+00,9f7f85c8-960c-4b39-aee6-73b3d9ed6d4d
-8938185.3579,2963009.62,8,0940250630040,402555,South Miami Senior Center,6701 SW 62nd Ave,South Miami,33143,305-669-0712, ,Community/Neighborhood,0,Local,Fully Developed,South Miami,25.7084,-80.29308,888927.81696308,500330.213292241,AF05548C-B71D-4FE5-A036-2363E4B05970,2021/10/21 15:23:25+00,SouthMiamiPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:02+00,PROSM,2024/03/05 07:27:40+00,472e33cc-1f8a-461f-9fcb-01bb39864a3f
-8935726.3734,2971423.4317,9,0141050330010,410550,Kinloch Park,455 NW 47th Ave,Miami,33126,305-461-7203, JOHN DATO,Community/Neighborhood,4,Local,Fully Developed,Miami,25.77648,-80.27099,896064.518896997,525114.687017158,F3EB456A-33AA-4BB9-BB3B-3C0CDCD92798,2021/10/21 15:23:25+00,MiamiPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:15+00,PROSM,2024/03/05 07:28:01+00,3f4f606b-e17d-458d-9221-ee9946e58f78
-8924446.8027,2988974.1026,10,0722170000090,221756,Martin Luther King Park,NE 15th Ct & NE 155th St,North Miami Beach,33162,305-948-2957, ,Greenway,0,Area-Wide,Undeveloped,North Miami Beach,25.91836,-80.16967,929083.891506411,576884.168123655,66D443B8-53F5-49DB-8416-3D60335F9CD3,2021/10/21 15:23:25+00,NorthMiamiBeachPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:45+00,PROSM,2024/03/05 07:28:49+00,c70f52b2-ae9b-4770-b3f1-8aa2cfc74408
