Population Estimates by Municipality in Miami-Dade County - 2023,,,,
Geographic Area,2023,,,
Aventura city,38741,,,
Bal Harbour village,2967,,,
Bay Harbor Islands town,5679,,,
Biscayne Park village,2993,,,
Coral Gables city,48353,,,
Cutler Bay town,43762,,,
Doral city,79359,,,
El Portal village,1897,,,
Florida City city,12582,,,
Golden Beach town,972,,,
Hialeah city,222286,,,
Hialeah Gardens city,22286,,,
Homestead city,81659,,,
Indian Creek village,82,,,
Key Biscayne village,14414,,,
Medley town,1036,,,
Miami city,455924,,,
Miami Beach city,79907,,,
Miami Gardens city,110717,,,
Miami Lakes town,31238,,,
Miami Shores village,11530,,,
Miami Springs city,13325,,,
North Bay Village city,7930,,,
North Miami city,59008,,,
North Miami Beach city,42789,,,
Opa-locka city,15794,,,
Palmetto Bay village,24264,,,
Pinecrest village,18051,,,
South Miami city,12073,,,
Sunny Isles Beach city,21885,,,
Surfside town,5472,,,
Sweetwater city,20352,,,
Virginia Gardens village,2288,,,
West Miami city,6914,,,
Unincorporated,1169622,,,
Total Miami-Dade County,2686867,,,
