Municipality,            Population_2023
Aventura,39192
Bal harbour,2973
Bay harbor islands,5634
Biscayne park,3018
Coral gables,48678
Cutler bay,43681
Doral,79359
El portal,1905
Florida city,12702
Golden beach,563
Hialeah,220459
Hialeah gardens,22540
Homestead,80414
Indian creek,81
Key biscayne,14548
Medley,1027
Miami,449585
Miami beach,80183
Miami gardens,110768
Miami lakes,30482
Miami shores,11340
Miami springs,13409
North bay,7375
North miami,59513
North miami beach,43021
Opa-locka,16248
Palmetto bay,23837
Pinecrest,17868
South miami,11777
Sunny isles beach,22066
Surfside,5502
Sweetwater,19263
Virginia gardens,2310
West miami,6980
