Name,Sex,Age,Team,NOC,Sport,Medal
Ren Abadie,M,21,France,FRA,Cycling,Gold
Aleksey Aleksandrovich Abalmasov,M,28,Belarus,BLR,Canoeing,Gold
Luc Abalo,M,23,France,FRA,Handball,Gold
Luc Abalo,M,27,France,FRA,Handball,Gold
Jos Mara Abarca Plotas,M,22,Spain,ESP,Water Polo,Gold
Alejandro Abascal Garca,M,28,Spain,ESP,Sailing,Gold
Jol Marc Abati,M,38,France,FRA,Handball,Gold
Agostino Abbagnale,M,22,Italy,ITA,Rowing,Gold
Agostino Abbagnale,M,29,Italy,ITA,Rowing,Gold
Agostino Abbagnale,M,34,Italy,ITA,Rowing,Gold
Carmine Abbagnale,M,22,Italy,ITA,Rowing,Gold
Carmine Abbagnale,M,26,Italy,ITA,Rowing,Gold
Giuseppe Abbagnale,M,25,Italy,ITA,Rowing,Gold
Giuseppe Abbagnale,M,29,Italy,ITA,Rowing,Gold
Margaret Ives Abbott (-Dunne),F,23,United States,USA,Golf,Gold
Mukhammad Kadyr Abdullayev,M,26,Uzbekistan,UZB,Boxing,Gold
Namiq Yadulla Abdullayev,M,29,Azerbaijan,AZE,Wrestling,Gold
Julius Shareef Abdur-Rahim,M,23,United States,USA,Basketball,Gold
Masashi Abe,M,28,Japan,JPN,Nordic Combined,Gold
George Gordon Abel,M,35,Canada,CAN,Ice Hockey,Gold
Abelardo Fernndez Antua,M,22,Spain,ESP,Football,Gold
Gezahgne Abera,M,22,Ethiopia,ETH,Athletics,Gold
Michael Brent Abernathy,M,22,United States,USA,Baseball,Gold
"Edgar Allen ""Ed"" Ablowich",M,19,United States,USA,Athletics,Gold
Attila brahm,M,21,Hungary,HUN,Canoeing,Gold
Harold Maurice Abrahams,M,24,Great Britain,GBR,Athletics,Gold
Julien Absalon,M,23,France,FRA,Cycling,Gold
Julien Absalon,M,27,France,FRA,Cycling,Gold
Ahmad Abughaush,M,20,Jordan,JOR,Taekwondo,Gold
William Accambray,M,24,France,FRA,Handball,Gold
Fausto Alesio Acke (Padovini-),M,22,Sweden,SWE,Gymnastics,Gold
Paul Douglas Ackerley,M,27,New Zealand,NZL,Hockey,Gold
